fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
rk2q3/2pb1p2/1p2p3/1P2P3/1PPN1P2/1K3QP1/7P/7R b - - 2 33,-494,-0.24700,MID,65,33,24,21,28,0,0,13.97,12
rk2q3/3b1p2/1p2p3/1Pp1P3/1PPN1P2/1K3QP1/7P/7R w - c6 0 34,582,0.29100,MID,66,34,24,21,28,0,0,13.98,11
rk2q3/3b1p2/1pP1p3/4P3/1PPN1P2/1K3QP1/7P/7R b - - 0 34,-509,-0.25450,MID,67,34,24,20,26,0,0,14.98,13
rkb1q3/5p2/1pP1p3/4P3/1PPN1P2/1K3QP1/7P/7R w - - 1 35,629,0.31450,MID,68,35,24,20,26,0,0,14.83,13
rkb1q3/5p2/1pP1p3/1N2P3/1PP2P2/1K3QP1/7P/7R b - - 2 35,-730,-0.36500,MID,69,35,24,20,26,0,0,15.40,12
r3r1k1/6p1/b1n1p2p/p1ppP1QP/Pp1P4/2P3P1/1P3PB1/R3R1K1 b - - 0 22,396,0.19800,MID,43,22,30,23,38,0,0,14.38,12
r3r1k1/6p1/b1n1p3/p1ppP1pP/Pp1P4/2P3P1/1P3PB1/R3R1K1 w - - 0 23,-396,-0.19800,END,44,23,21,23,37,1,0,17.40,13
r3r1k1/6p1/b1n1p3/p1ppP1pP/Pp1P4/2P3PB/1P3P2/R3R1K1 b - - 1 23,497,0.24850,END,45,23,21,23,37,1,0,14.95,15
r3r1k1/6p1/b1n1p3/p2pP1pP/Pp1p4/2P3PB/1P3P2/R3R1K1 w - - 0 24,-508,-0.25400,END,46,24,20,23,35,1,0,14.01,13
6k1/5p2/3Q1Prp/3p2P1/3PpRP1/4q3/1P4RK/8 b - - 0 40,72,0.03600,MID,79,40,24,18,23,0,0,15.48,10
6k1/5p2/3Q1Pr1/3p2p1/3PpRP1/4q3/1P4RK/8 w - - 0 41,18,0.00900,MID,80,41,23,18,21,0,0,13.10,9
6k1/5p2/3Q1Pr1/3p2p1/3Pp1P1/4q3/1P3RRK/8 b - - 1 41,42,0.02100,MID,81,41,23,18,21,0,0,14.98,11
6k1/5p2/3Q1P1r/3p2p1/3Pp1P1/4q3/1P3RRK/8 w - - 2 42,122,0.06100,MID,82,42,23,18,21,0,0,14.98,12
6k1/5p2/3Q1P1r/3p2p1/3Pp1P1/4q3/1P3RR1/6K1 b - - 3 42,-164,-0.08200,MID,83,42,23,18,21,0,0,13.96,10
6k1/5p2/3Q1P1r/3p2p1/3Pp1P1/7q/1P3RR1/6K1 w - - 4 43,380,0.19000,MID,84,43,23,18,21,0,0,13.95,13
6k1/5p2/3Q1P1r/3p2p1/3Pp1P1/7q/1P3R1R/6K1 b - - 5 43,-211,-0.10550,MID,85,43,23,18,21,0,0,13.95,10
6k1/5p2/3Q1P1r/3p2p1/3Pp1q1/8/1P3R1R/6K1 w - - 0 44,166,0.08300,MID,86,44,22,18,19,0,0,13.84,13
r3k1r1/pp3p1p/3p1B2/2p1pq2/2P1P1p1/3P4/PP4P1/1R3RK1 w q - 0 22,454,0.22700,MID,42,22,19,27,34,0,0,17.83,12
r3k1r1/pp3p1p/3p1B2/2p1pR2/2P1P1p1/3P4/PP4P1/1R4K1 b q - 0 22,-422,-0.21100,END,43,22,19,18,33,1,0,12.86,11
r5r1/pp1k1p1p/3p1B2/2p1pR2/2P1P1p1/3P4/PP4P1/1R4K1 w - - 1 23,467,0.23350,END,44,23,19,18,33,1,0,14.68,12
r5r1/pp1k1p1p/3p1B2/2p1pR2/2P1P1p1/3P4/PP4P1/5RK1 b - - 2 23,-475,-0.23750,END,45,23,19,18,33,1,0,13.39,11
r7/pp1k1p1p/3p1Br1/2p1pR2/2P1P1p1/3P4/PP4P1/5RK1 w - - 3 24,435,0.21750,END,46,24,19,18,33,1,0,15.11,13
r7/pp1k1p1p/3p1Br1/2p1pR2/2P1P1p1/3P2P1/PP6/5RK1 b - - 0 24,-419,-0.20950,END,47,24,19,18,33,1,0,17.52,13
r7/pp3p1p/3pkBr1/2p1pR2/2P1P1p1/3P2P1/PP6/5RK1 w - - 1 25,482,0.24100,END,48,25,19,18,33,1,0,15.63,11
r7/pp3p1p/3pk1r1/2p1pR2/2P1P1pB/3P2P1/PP6/5RK1 b - - 2 25,-458,-0.22900,END,49,25,19,18,33,1,0,14.59,11
3q3k/3r2pp/1p1R4/8/2Q2p2/P3pN2/1P4PP/4R1K1 b - - 0 28,-431,-0.21550,MID,55,28,26,19,24,0,0,15.35,13
3q3k/6pp/1p1r4/8/2Q2p2/P3pN2/1P4PP/4R1K1 w - - 0 29,467,0.23350,MID,56,29,21,19,23,0,0,13.82,12
3q3k/6pp/1p1r4/8/5Q2/P3pN2/1P4PP/4R1K1 b - - 0 29,-455,-0.22750,MID,57,29,21,18,21,0,0,14.88,13
3q3k/6pp/1p2r3/8/5Q2/P3pN2/1P4PP/4R1K1 w - - 1 30,519,0.25950,MID,58,30,21,18,21,0,0,14.96,13
3q3k/6pp/1p2r3/8/5Q2/P3RN2/1P4PP/6K1 b - - 0 30,-480,-0.24000,MID,59,30,21,17,19,0,0,13.78,10
7k/6pp/1p2r3/8/5Q2/P3RN2/1P4PP/3q2K1 w - - 1 31,566,0.28300,MID,60,31,21,17,19,0,0,14.52,15
7k/6pp/1p2r3/8/5Q2/P3R3/1P4PP/3qN1K1 b - - 2 31,-483,-0.24150,MID,61,31,21,17,19,0,0,13.71,13
r4rk1/ppp1bppp/3Q4/8/8/1B2B2P/PP3PP1/2R2bK1 b - - 0 18,398,0.19900,MID,35,18,25,22,30,0,0,15.04,13
r4rk1/ppp2ppp/3b4/8/8/1B2B2P/PP3PP1/2R2bK1 w - - 0 19,-386,-0.19300,END,36,19,16,22,29,1,0,13.99,13
r4rk1/ppp2ppp/3b4/8/8/1B2B2P/PP3PP1/5RK1 b - - 0 19,377,0.18850,END,37,19,16,19,28,1,0,15.45,12
r4rk1/p1p2ppp/1p1b4/8/8/1B2B2P/PP3PP1/5RK1 w - - 0 20,-405,-0.20250,END,38,20,16,19,28,1,0,15.14,12
r4rk1/p1p2ppp/1p1b4/8/8/1B2B1PP/PP3P2/5RK1 b - - 0 20,416,0.20800,END,39,20,16,19,28,1,0,15.04,13
r3r1k1/p1p2ppp/1p1b4/8/8/1B2B1PP/PP3P2/5RK1 w - - 1 21,-382,-0.19100,END,40,21,16,19,28,1,0,14.05,12
r3r1k1/p1p2ppp/1p1b4/8/B7/4B1PP/PP3P2/5RK1 b - - 2 21,367,0.18350,END,41,21,16,19,28,1,0,14.01,14
r5k1/p1p1rppp/1p1b4/8/B7/4B1PP/PP3P2/5RK1 w - - 3 22,-360,-0.18000,END,42,22,16,19,28,1,0,13.82,12
r1b1k3/p1q2pp1/2p1p3/2bpP2Q/3P1N2/1P6/P4PP1/R5K1 w q - 0 21,137,0.06850,MID,40,21,23,26,31,0,0,13.46,9
r1b1k3/p1q2pp1/2p1p3/2PpP2Q/5N2/1P6/P4PP1/R5K1 b q - 0 21,-126,-0.06300,MID,41,21,23,23,30,0,0,14.65,10
r1b1k3/p3qpp1/2p1p3/2PpP2Q/5N2/1P6/P4PP1/R5K1 w q - 1 22,114,0.05700,MID,42,22,23,23,30,0,0,15.43,10
r1b1k2Q/p3qpp1/2p1p3/2PpP3/5N2/1P6/P4PP1/R5K1 b q - 2 22,-68,-0.03400,MID,43,22,23,23,30,0,0,15.10,10
r1b1kq1Q/p4pp1/2p1p3/2PpP3/5N2/1P6/P4PP1/R5K1 w q - 3 23,88,0.04400,MID,44,23,23,23,30,0,0,14.99,10
r1b1kQ2/p4pp1/2p1p3/2PpP3/5N2/1P6/P4PP1/R5K1 b q - 0 23,4,0.00200,MID,45,23,23,14,29,0,0,15.62,10
r1b2k2/p4pp1/2p1p3/2PpP3/5N2/1P6/P4PP1/R5K1 w - - 0 24,92,0.04600,END,46,24,14,14,28,1,0,14.60,10
r1b2k2/p4pp1/2p1p3/2PpP3/8/1P1N4/P4PP1/R5K1 b - - 1 24,-10,-0.00500,END,47,24,14,14,28,1,0,15.21,9
rnb1k2r/pppp1ppp/5n2/2b1p3/2B1P3/2N5/PPPP1PPP/R1B1K1NR b KQkq - 1 5,52,0.02600,END,9,5,30,30,44,1,0,14.37,9
rnb1k2r/pp1p1ppp/2p2n2/2b1p3/2B1P3/2N5/PPPP1PPP/R1B1K1NR w KQkq - 0 6,23,0.01150,END,10,6,30,30,44,1,0,13.58,9
rnb1k2r/pp1p1ppp/2p2n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1B1K2R b KQkq - 1 6,20,0.01000,END,11,6,30,30,44,1,0,14.31,9
rnb1k2r/pp3ppp/2pp1n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1B1K2R w KQkq - 0 7,-5,-0.00250,END,12,7,30,30,44,1,0,13.41,10
