fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
2b2r1k/p4p2/1p2p1pp/4P3/5P2/P1Nq2P1/1P4P1/R3K2R b KQ - 0 23,606,0.30300,MID,45,23,19,23,30,0,0,14.30,15
2b2r1k/p4p2/1p2p1pp/4P3/5P2/P1N3q1/1P4P1/R3K2R w KQ - 0 24,-640,-0.32000,MID,46,24,18,23,28,0,0,14.36,15
2b2r1k/p4p2/1p2p1pp/4P3/5P2/P1N3q1/1P4P1/R4K1R b - - 1 24,715,0.35750,MID,47,24,18,23,28,0,0,14.48,16
5r1k/p4p2/bp2p1pp/4P3/5P2/P1N3q1/1P4P1/R4K1R w - - 2 25,-728,-0.36400,MID,48,25,18,23,28,0,0,14.50,15
5r1k/p4p2/bp2p1pp/4P3/5P2/P1N3q1/1P4P1/R5KR b - - 3 25,725,0.36250,MID,49,25,18,23,28,0,0,14.49,15
5r1k/p4p2/bp2p1pp/4P3/5P2/P1N1q3/1P4P1/R5KR w - - 4 26,-693,-0.34650,MID,50,26,18,23,28,0,0,13.98,15
5r1k/p4p2/bp2p1pp/4P3/5P2/P1N1q3/1P4PK/R6R b - - 5 26,724,0.36200,MID,51,26,18,23,28,0,0,12.97,15
7r/2pk1pp1/2b1p3/2B5/P2P1P2/1r2PR1p/6Q1/2R3K1 b - - 0 31,450,0.22500,MID,61,31,26,18,25,0,0,16.12,14
7r/2pk1pp1/2b1p3/2B5/P2P1P2/1r2PR2/6p1/2R3K1 w - - 0 32,-475,-0.23750,END,62,32,17,18,24,1,0,14.06,13
7r/2pk1pp1/2b1p3/2B5/P2P1P2/1r2PR2/6K1/2R5 b - - 0 32,480,0.24000,END,63,32,17,17,22,1,0,14.95,13
7r/2pk1pp1/4p3/2B5/P2P1P2/1r2Pb2/6K1/2R5 w - - 0 33,-457,-0.22850,END,64,33,12,17,21,1,0,14.41,13
7r/2pk1pp1/4p3/2B5/P2P1P2/1r2PK2/8/2R5 b - - 0 33,459,0.22950,END,65,33,12,14,20,1,0,13.46,12
8/2pk1pp1/4p3/2B5/P2P1P2/1r2PK1r/8/2R5 w - - 1 34,-460,-0.23000,END,66,34,12,14,20,1,0,14.05,13
8/2pk1pp1/4p3/2B5/P2P1PK1/1r2P2r/8/2R5 b - - 2 34,475,0.23750,END,67,34,12,14,20,1,0,14.54,13
8/2pk1pp1/4p3/2B5/P2P1PK1/1r2r3/8/2R5 w - - 0 35,-420,-0.21000,END,68,35,11,14,18,1,0,16.54,14
2r4k/1q4bp/p2r1p2/2P1p3/5p1P/1R6/P5PB/2R4K w - - 0 33,-152,-0.07600,MID,64,33,17,27,25,0,0,13.05,10
2r4k/1R4bp/p2r1p2/2P1p3/5p1P/8/P5PB/2R4K b - - 0 33,163,0.08150,END,65,33,17,18,24,1,0,15.22,10
2r4k/1R4bp/p1r2p2/2P1p3/5p1P/8/P5PB/2R4K w - - 1 34,-143,-0.07150,END,66,34,17,18,24,1,0,12.98,10
2r4k/1R4bp/p1r2p2/2P1p3/5p1P/8/P5P1/2R3BK b - - 2 34,171,0.08550,END,67,34,17,18,24,1,0,13.89,11
2r2b1k/1R5p/p1r2p2/2P1p3/5p1P/8/P5P1/2R3BK w - - 3 35,-150,-0.07500,END,68,35,17,18,24,1,0,15.01,9
2r2b1k/1R5p/p1r2p2/2P1p3/5p1P/8/P5P1/3R2BK b - - 4 35,178,0.08900,END,69,35,17,18,24,1,0,12.98,11
2r2b1k/1Rr4p/p4p2/2P1p3/5p1P/8/P5P1/3R2BK w - - 5 36,-183,-0.09150,END,70,36,17,18,24,1,0,14.08,9
2r2b1k/1Rr4p/p1P2p2/4p3/5p1P/8/P5P1/3R2BK b - - 0 36,231,0.11550,END,71,36,17,18,24,1,0,15.03,11
2r3k1/p2Q2p1/4p2p/3pP3/6P1/P7/1PB2r1P/2KR3R b - - 0 19,0,0.00000,MID,37,19,27,15,26,0,0,13.45,27
6k1/p2Q2p1/4p2p/3pP3/6P1/P7/1Pr2r1P/2KR3R w - - 0 20,0,0.00000,MID,38,20,24,15,25,0,0,14.68,26
6k1/p2Q2p1/4p2p/3pP3/6P1/P7/1Pr2r1P/1K1R3R b - - 1 20,0,0.00000,MID,39,20,24,15,25,0,0,16.19,27
6k1/p2Q2p1/4p2p/3pP3/6P1/P7/1r3r1P/1K1R3R w - - 0 21,0,0.00000,MID,40,21,23,15,23,0,0,17.49,29
6k1/p2Q2p1/4p2p/3pP3/6P1/P7/1r3r1P/K2R3R b - - 1 21,0,0.00000,MID,41,21,23,15,23,0,0,15.29,31
6k1/p2Q2p1/4p2p/3pP3/6P1/P7/r4r1P/K2R3R w - - 2 22,0,0.00000,MID,42,22,23,15,23,0,0,16.10,36
6k1/p2Q2p1/4p2p/3pP3/6P1/P7/r4r1P/1K1R3R b - - 3 22,0,0.00000,MID,43,22,23,15,23,0,0,16.81,37
1k4r1/ppp2p1p/3p1q2/4nB2/4P3/3P1p1P/PPP1QP2/2K3R1 w - - 0 24,2000,1.00000,MID,46,24,24,24,34,0,1,58.98,206
1k4R1/ppp2p1p/3p1q2/4nB2/4P3/3P1p1P/PPP1QP2/2K5 b - - 0 24,-2000,-1.00000,MID,47,24,24,19,33,0,1,50.85,245
r2q1rk1/ppp2ppp/3p4/2bNP3/8/P2b4/1P3PPP/4Q2K b - - 0 21,914,0.45700,MID,41,21,18,32,33,0,0,13.26,16
r4rk1/ppp2ppp/3p4/2bNP1q1/8/P2b4/1P3PPP/4Q2K w - - 1 22,-859,-0.42950,MID,42,22,18,32,33,0,0,13.19,13
r4rk1/ppN2ppp/3p4/2b1P1q1/8/P2b4/1P3PPP/4Q2K b - - 0 22,903,0.45150,MID,43,22,18,31,31,0,0,12.59,16
2r2rk1/ppN2ppp/3p4/2b1P1q1/8/P2b4/1P3PPP/4Q2K w - - 1 23,-884,-0.44200,MID,44,23,18,31,31,0,0,13.22,15
2r2rk1/ppN2ppp/3P4/2b3q1/8/P2b4/1P3PPP/4Q2K b - - 0 23,987,0.49350,MID,45,23,18,30,29,0,0,13.24,15
2r2rk1/ppN2ppp/3b4/6q1/8/P2b4/1P3PPP/4Q2K w - - 0 24,-1022,-0.51100,MID,46,24,17,30,27,0,0,14.29,15
