fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
3r2k1/pp4bp/4p1p1/4P2n/8/1P1n1Q1P/P4PP1/3R2K1 w - - 0 30,475,0.23750,MID,58,30,20,19,28,0,0,13.86,14
r1b3k1/p6p/2p2rp1/3p1p2/5P2/7P/PPP4K/R1B3R1 w - - 0 21,-54,-0.02700,END,40,21,18,19,28,1,0,12.93,9
5k2/pb3p2/3p1qp1/3P1n1p/2Bp4/1P6/P2Q1PPP/4R1K1 b - - 1 34,-315,-0.15750,MID,67,34,23,21,30,0,0,13.71,11
r2qkb1r/1pp2ppp/p1p2nb1/4N3/4P3/1P1P3P/P1P2PP1/RNBQ1RK1 b kq - 0 9,-131,-0.06550,OPEN,17,9,36,35,42,0,0,12.52,10
r5k1/2p2pp1/p3q2p/1p6/3P1b2/2PK2PP/PP6/R2Q1R2 b - - 3 23,2000,1.00000,MID,45,23,25,23,30,0,1,14.96,34
6k1/3R4/2p5/2P2ppp/1P6/r6P/5PP1/6K1 b - - 0 34,-91,-0.04550,END,67,34,10,9,20,1,0,12.97,10
r5k1/pp5p/6bQ/8/3Pq3/1P5P/1P4P1/3R3K b - - 1 32,333,0.16650,MID,63,32,19,20,21,0,0,15.21,10
r1bqk2r/ppp2ppp/2n2n2/4p3/1b2P3/3PB3/PPPNB1PP/R2QK1NR b KQkq - 6 7,74,0.03700,OPEN,13,7,38,38,42,0,0,14.96,10
8/p5p1/k6p/1p1P4/4P3/P7/3p1KPP/3R4 w - - 0 39,825,0.41250,END,76,39,10,5,21,1,0,12.96,14
r1bqk2r/ppp1bppp/2n5/3p4/2BNn3/2P5/PP3PPP/RNBQR1K1 w kq - 0 9,-45,-0.02250,OPEN,16,9,37,38,40,0,0,13.97,10
r2qk2r/1ppbbppp/p1np1n2/4p3/4P3/2P2N2/PPBP1PPP/RNBQ1RK1 w kq - 4 8,89,0.04450,OPEN,14,8,39,39,46,0,0,14.96,10
5k2/5pp1/p4n1p/1pR1p3/2p1P3/P4P1P/1r4P1/5BK1 w - - 0 32,-392,-0.19600,END,62,32,13,15,28,1,0,14.84,12
rnbqkbnr/pp4pp/2p5/3p1p2/4pP2/4P1PN/PPPP2BP/RNBQ1RK1 b kq - 0 6,100,0.05000,OPEN,11,6,39,39,46,0,0,13.96,10
r5k1/2p4p/p2p1Rp1/1p6/3n4/2N5/PPP3P1/5RK1 w - - 0 20,487,0.24350,END,38,20,17,14,25,1,0,13.96,13
rn2kb1r/pp2p1pp/2p1B3/3n4/3P4/2N2P2/PPP2P1P/R1B1K2R b KQkq - 0 10,-264,-0.13200,END,19,10,26,25,36,1,0,13.97,12
rn2kb1r/pp3ppp/2p1pn2/6B1/4b3/1BN5/PPP1KP1P/R4R2 b kq - 1 12,517,0.25850,END,23,12,24,29,35,1,0,13.90,15
rnbqkb1r/pp3ppp/5n2/1Bpp4/5P2/2N2N2/PPPP2PP/R1BQK2R b KQkq - 3 6,51,0.02550,OPEN,11,6,38,38,42,0,0,13.41,10
1r2kb1r/1b2pp1p/pp1p2p1/8/4PP2/2N2N2/PPP3PP/2KRR3 b - - 3 14,40,0.02000,END,27,14,23,23,36,1,0,13.96,9
r1bqkb1r/1p3ppp/p1n2n2/2pp4/4P3/2NP1N2/PP2BPPP/R1BQK2R w KQkq - 0 8,14,0.00700,OPEN,14,8,38,38,42,0,0,14.96,11
